species
"Abditibacterium utsteinense"
"Acidianus infernus"
"Acidianus sp."
"Acidianus sulfidivorans"
"Acidibacillus ferrooxidans"
"Acidibacillus sulfuroxidans"
"Acidibacter ferrireducens"
"Acidibrevibacterium fodinaquatile"
"Acidicaldus organivorans"
"Acidicapsa acidiphila"
"Acidicapsa acidisoli"
"Acidicapsa borealis"
"Acidicapsa dinghuensis"
"Acidicapsa ferrireducens"
"Acidicapsa ligni"
"Acidiferrimicrobium australe"
"Acidiferrobacter sp."
"Acidiferrobacter thiooxydans"
"Acidihalobacter aeolianus"
"Acidihalobacter ferrooxydans"
"Acidihalobacter prosperus"
"Acidihalobacter yilgarnensis"
"Acidilobus aceticus"
"Acidilobus saccharovorans"
"Acidiluteibacter ferrifornacis"
"Acidimangrovimonas pyrenivorans"
"Acidimangrovimonas sediminis"
"Acidimicrobium ferrooxidans"
"Acidiphilium acidophilum"
"Acidiphilium aminilyticum"
"Acidiphilium cryptum"
"Acidiphilium multivorum"
"Acidiphilium sp."
"Acidipila dinghuensis"
"Acidipila rosea"
"Acidiplasma aeolicum"
"Acidiplasma cupricumulans"
"Acidipropionibacterium acidipropionici"
"Acidipropionibacterium damnosum"
"Acidipropionibacterium jensenii"
"Acidipropionibacterium microaerophilum"
"Acidipropionibacterium olivae"
"Acidipropionibacterium sp."
"Acidipropionibacterium thoenii"
"Acidipropionibacterium virtanenii"
"Acidisoma sibiricum"
"Acidisoma tundrae"
"Acidisphaera rubrifaciens"
"Aciditerrimonas ferrireducens"
"Acidithiobacillus albertensis"
"Acidithiobacillus caldus"
"Acidithiobacillus ferrianus"
"Acidithiobacillus ferridurans"
"Acidithiobacillus ferriphilus"
"Acidithiobacillus ferrivorans"
"Acidithiobacillus ferrooxidans"
"Acidithiobacillus sp."
"Acidithiobacillus sulfuriphilus"
"Acidithiobacillus thiooxidans"
"Acidithrix ferrooxidans"
"Acidobacterium ailaaui"
"Acidobacterium capsulatum"
"Acidobacterium sp."
"Acidocella aluminiidurans"
"Acidocella aquatica"
"Acidocella aromatica"
"Acidomonas methanolica"
"Acidothermus cellulolyticus"
"Acidovorax anthurii"
"Acidovorax avenae"
"Acidovorax caeni"
"Acidovorax carolinensis"
"Acidovorax cattleyae"
"Acidovorax citrulli"
"Acidovorax defluvii"
"Acidovorax delafieldii"
"Acidovorax facilis"
"Acidovorax kalamii"
"Acidovorax lacteus"
"Acidovorax oryzae"
"Acidovorax radicis"
"Acidovorax soli"
"Acidovorax sp."
"Acidovorax temperans"
"Acidovorax valerianellae"
"Acidovorax wautersii"
"Aciduliprofundum boonei"
"Acinetobacter albensis"
"Acinetobacter apis"
"Acinetobacter baumannii"
"Acinetobacter baylyi"
"Acinetobacter beijerinckii"
"Acinetobacter bereziniae"
"Acinetobacter bohemicus"
"Acinetobacter boissieri"
"Acinetobacter bouvetii"
"Acinetobacter brisouii"
"Acinetobacter calcoaceticus"
"Acinetobacter celticus"
"Acinetobacter chengduensis"
"Acinetobacter colistiniresistens"
"Acinetobacter courvalinii"
"Acinetobacter defluvii"
"Acinetobacter dispersus"
"Acinetobacter equi"
"Acinetobacter gandensis"
"Acinetobacter gerneri"
"Acinetobacter guillouiae"
"Acinetobacter gyllenbergii"
"Acinetobacter haemolyticus"
"Acinetobacter halotolerans"
"Acinetobacter harbinensis"
"Acinetobacter indicus"
"Acinetobacter johnsonii"
"Acinetobacter junii"
"Acinetobacter kookii"
"Acinetobacter lactucae"
"Acinetobacter lanii"
"Acinetobacter larvae"
"Acinetobacter lwoffii"
"Acinetobacter marinus"
"Acinetobacter mesopotamicus"
"Acinetobacter modestus"
"Acinetobacter nectaris"
"Acinetobacter nosocomialis"
"Acinetobacter oleivorans"
"Acinetobacter oryzae"
"Acinetobacter parvus"
"Acinetobacter piscicola"
"Acinetobacter pittii"
"Acinetobacter plantarum"
"Acinetobacter pragensis"
"Acinetobacter proteolyticus"
"Acinetobacter pseudolwoffii"
"Acinetobacter pullicarnis"
"Acinetobacter pullorum"
"Acinetobacter puyangensis"
"Acinetobacter qingfengensis"
"Acinetobacter radioresistens"
"Acinetobacter refrigeratoris"
"Acinetobacter rudis"
"Acinetobacter schindleri"
"Acinetobacter seifertii"
"Acinetobacter seohaensis"
"Acinetobacter septicus"
"Acinetobacter shaoyimingii"
"Acinetobacter sichuanensis"
"Acinetobacter soli"
"Acinetobacter sp."
"Acinetobacter tandoii"
"Acinetobacter tjernbergiae"
"Acinetobacter towneri"
"Acinetobacter ursingii"
"Acinetobacter variabilis"
"Acinetobacter venetianus"
"Acinetobacter vivianii"
"Acinetobacter wanghuae"
"Acinetobacter wuhouensis"
"Acrocarpospora corrugata"
"Acrocarpospora macrocephala"
"Acrocarpospora phusangensis"
"Acrocarpospora pleiomorpha"
"Actibacter haliotis"
"Actibacter sediminis"
"Actibacterium mucosum"
"Actibacterium naphthalenivorans"
"Actibacterium pelagium"
"Actibacterium ureilyticum"
"Actimicrobium antarcticum"
"Actinoallomurus acaciae"
"Actinoallomurus acanthiterrae"
"Actinoallomurus amamiensis"
"Actinoallomurus bryophytorum"
"Actinoallomurus caesius"
"Actinoallomurus coprocola"
"Actinoallomurus fulvus"
"Actinoallomurus iriomotensis"
"Actinoallomurus liliacearum"
"Actinoallomurus luridus"
"Actinoallomurus oryzae"
"Actinoallomurus purpureus"
"Actinoallomurus radicium"
"Actinoallomurus sp."
"Actinoallomurus spadix"
"Actinoallomurus vinaceus"
"Actinoallomurus yoronensis"
"Actinoalloteichus cyanogriseus"
"Actinoalloteichus fjordicus"
"Actinoalloteichus hoggarensis"
"Actinoalloteichus hymeniacidonis"
"Actinoalloteichus nanshanensis"
"Actinoalloteichus sp."
"Actinoalloteichus spitiensis"
"Actinobacillus anseriformium"
"Actinobacillus arthritidis"
"Actinobacillus capsulatus"
"Actinobacillus delphinicola"
"Actinobacillus equuli"
"Actinobacillus equuli subsp. haemolyticus"
"Actinobacillus hominis"
"Actinobacillus indolicus"
"Actinobacillus lignieresii"
"Actinobacillus minor"
"Actinobacillus pleuropneumoniae"
"Actinobacillus porcinus"
"Actinobacillus porcitonsillarum"
"Actinobacillus rossii"
"Actinobacillus scotiae"
"Actinobacillus seminis"
"Actinobacillus sp."
"Actinobacillus succinogenes"
"Actinobacillus suis"
"Actinobacillus ureae"
"Actinobacillus vicugnae"
"Actinobaculum massiliense"
"Actinobaculum sp."
"Actinobaculum suis"
"Actinobaculum timonae"
"Actinocatenispora rupis"
"Actinocatenispora sera"
"Actinocatenispora thailandica"
"Actinocorallia aurantiaca"
"Actinocorallia aurea"
"Actinocorallia cavernae"
"Actinocorallia glomerata"
"Actinocorallia herbida"
"Actinocorallia lasiicapitis"
"Actinocorallia libanotica"
"Actinocorallia longicatena"
"Actinocorallia populi"
"Actinocrinis puniceicyclus"
"Actinocrispum wychmicini"
"Actinokineospora acnipugnans"
"Actinokineospora alba"
"Actinokineospora auranticolor"
"Actinokineospora baliensis"
"Actinokineospora bangkokensis"
"Actinokineospora cianjurensis"
"Actinokineospora cibodasensis"
"Actinokineospora diospyrosa"
"Actinokineospora enzanensis"
"Actinokineospora fastidiosa"
"Actinokineospora globicatena"
"Actinokineospora guangxiensis"
"Actinokineospora inagensis"
"Actinokineospora mzabensis"
"Actinokineospora riparia"
"Actinokineospora soli"
"Actinokineospora sp."
"Actinokineospora spheciospongiae"
"Actinokineospora terrae"
"Actinomadura adrarensis"
"Actinomadura alba"
"Actinomadura algeriensis"
"Actinomadura alkaliterrae"
"Actinomadura apis"
"Actinomadura atramentaria"
"Actinomadura bangladeshensis"
"Actinomadura barringtoniae"
"Actinomadura catellatispora"
"Actinomadura chibensis"
"Actinomadura chokoriensis"
"Actinomadura citrea"
"Actinomadura coerulea"
"Actinomadura craniellae"
"Actinomadura cremea"
"Actinomadura darangshiensis"
"Actinomadura decatromicini"
"Actinomadura deserti"
"Actinomadura fibrosa"
"Actinomadura flavalba"
"Actinomadura formosensis"
"Actinomadura fulvescens"
"Actinomadura gamaensis"
"Actinomadura geliboluensis"
"Actinomadura glauciflava"
"Actinomadura hallensis"
"Actinomadura harenae"
"Actinomadura hibisca"
"Actinomadura jiaoheensis"
"Actinomadura keratinilytica"
"Actinomadura kijaniata"
"Actinomadura latina"
"Actinomadura litoris"
"Actinomadura livida"
"Actinomadura logoneensis"
"Actinomadura luteofluorescens"
"Actinomadura macra"
"Actinomadura madurae"
"Actinomadura maheshkhaliensis"
"Actinomadura meridiana"
"Actinomadura mexicana"
"Actinomadura meyerae"
"Actinomadura miaoliensis"
"Actinomadura montaniterrae"
"Actinomadura namibiensis"
"Actinomadura napierensis"
"Actinomadura nitritigenes"
"Actinomadura oligospora"
"Actinomadura pelletieri"
"Actinomadura physcomitrii"
"Actinomadura rayongensis"
"Actinomadura rhizosphaerae"
"Actinomadura rifamycini"
"Actinomadura roseirufa"
"Actinomadura rubrisoli"
"Actinomadura rudentiformis"
"Actinomadura rugatobispora"
"Actinomadura rupiterrae"
"Actinomadura scrupuli"
"Actinomadura sediminis"
"Actinomadura sp."
"Actinomadura sporangiiformans"
"Actinomadura sputi"
"Actinomadura syzygii"
"Actinomadura verrucosospora"
"Actinomadura vinacea"
"Actinomadura viridilutea"
"Actinomadura viridis"
"Actinomadura xylanilytica"
"Actinomadura yumaensis"
"Actinomyces bouchesdurhonensis"
"Actinomyces bovis"
"Actinomyces bowdenii"
"Actinomyces catuli"
"Actinomyces dentalis"
"Actinomyces denticolens"
"Actinomyces gaoshouyii"
"Actinomyces gerencseriae"
"Actinomyces glycerinitolerans"
"Actinomyces graevenitzii"
"Actinomyces haliotis"
"Actinomyces howellii"
"Actinomyces israelii"
"Actinomyces johnsonii"
"Actinomyces lilanjuaniae"
"Actinomyces lingnae"
"Actinomyces marmotae"
"Actinomyces massiliensis"
"Actinomyces naeslundii"
"Actinomyces oralis"
"Actinomyces oricola"
"Actinomyces oris"
"Actinomyces polynesiensis"
"Actinomyces procaprae"
"Actinomyces qiguomingii"
"Actinomyces radicidentis"
"Actinomyces ruminicola"
"Actinomyces slackii"
"Actinomyces sp."
"Actinomyces timonensis"
"Actinomyces urogenitalis"
"Actinomyces viscosus"
"Actinomyces vulturis"
"Actinomyces weissii"
"Actinomyces wuliandei"
"Actinomycetospora atypica"
"Actinomycetospora callitridis"
"Actinomycetospora chiangmaiensis"
"Actinomycetospora chibensis"
"Actinomycetospora chlora"
"Actinomycetospora cinnamomea"
"Actinomycetospora corticicola"
"Actinomycetospora endophytica"
"Actinomycetospora iriomotensis"
"Actinomycetospora lutea"
"Actinomycetospora rhizophila"
"Actinomycetospora rishiriensis"
"Actinomycetospora straminea"
"Actinomycetospora succinea"
"Actinophytocola algeriensis"
"Actinophytocola burenkhanensis"
"Actinophytocola corallina"
"Actinophytocola gilvus"
"Actinophytocola glycyrrhizae"
"Actinophytocola oryzae"
"Actinophytocola sediminis"
"Actinophytocola sp."
"Actinophytocola timorensis"
"Actinophytocola xanthii"
"Actinophytocola xinjiangensis"
"Actinoplanes abujensis"
"Actinoplanes arizonaensis"
"Actinoplanes atraurantiacus"
"Actinoplanes auranticolor"
"Actinoplanes brasiliensis"
"Actinoplanes campanulatus"
"Actinoplanes capillaceus"
"Actinoplanes consettensis"
"Actinoplanes couchii"
"Actinoplanes cyaneus"
"Actinoplanes deccanensis"
"Actinoplanes derwentensis"
"Actinoplanes deserti"
"Actinoplanes digitatis"
"Actinoplanes durhamensis"
"Actinoplanes ferrugineus"
"Actinoplanes friuliensis"
"Actinoplanes garbadinensis"
"Actinoplanes globisporus"
"Actinoplanes hulinensis"
"Actinoplanes humidus"
"Actinoplanes ianthinogenes"
"Actinoplanes italicus"
"Actinoplanes lichenis"
"Actinoplanes liguriensis"
"Actinoplanes lobatus"
"Actinoplanes luteus"
"Actinoplanes lutulentus"
"Actinoplanes missouriensis"
"Actinoplanes nipponensis"
"Actinoplanes octamycinicus"
"Actinoplanes palleronii"
"Actinoplanes philippinensis"
"Actinoplanes purpeobrunneus"
"Actinoplanes ramoplaninifer"
"Actinoplanes rectilineatus"
"Actinoplanes regularis"
"Actinoplanes rhizophilus"
"Actinoplanes rishiriensis"
"Actinoplanes sediminis"
"Actinoplanes siamensis"
"Actinoplanes sichuanensis"
"Actinoplanes solisilvae"
"Actinoplanes sp."
"Actinoplanes subglobosus"
"Actinoplanes teichomyceticus"
"Actinoplanes tereljensis"
"Actinoplanes toevensis"
"Actinoplanes utahensis"
"Actinoplanes xinjiangensis"
"Actinopolymorpha alba"
"Actinopolymorpha cephalotaxi"
"Actinopolymorpha pittospori"
"Actinopolymorpha rutila"
"Actinopolymorpha singaporensis"
"Actinopolyspora alba"
"Actinopolyspora algeriensis"
"Actinopolyspora biskrensis"
"Actinopolyspora erythraea"
"Actinopolyspora halophila"
"Actinopolyspora lacussalsi"
"Actinopolyspora mortivallis"
"Actinopolyspora mzabensis"
"Actinopolyspora righensis"
"Actinopolyspora saharensis"
"Actinopolyspora salinaria"
"Actinopolyspora sp."
"Actinopolyspora xinjiangensis"
"Actinorectispora indica"
"Actinorectispora metalli"
"Actinorhabdospora filicis"
"Actinorugispora endophytica"
"Actinospica acidiphila"
"Actinospica durhamensis"
"Actinospica robiniae"
"Actinosporangium violaceum"
"Actinosynnema mirum"
"Actinosynnema pretiosum"
"Actinosynnema pretiosum subsp. auranticum"
"Actinosynnema sp."
"Actinotalea caeni"
"Actinotalea fermentans"
"Actinotalea ferrariae"
"Actinotalea solisilvae"
"Actinotalea sp."
"Actinotignum sanguinis"
"Actinotignum schaalii"
"Actinotignum urinale"
"Acutalibacter muris"
"Acuticoccus kandeliae"
"Acuticoccus sediminis"
"Acuticoccus yangtzensis"
"Adhaeribacter aerolatus"
"Adhaeribacter aerophilus"
"Adhaeribacter aquaticus"
"Adhaeribacter sp."
"Adhaeribacter swui"
"Adhaeribacter terrae"
"Adhaeribacter terreus"
"Adlercreutzia caecicola"
"Adlercreutzia caecimuris"
"Adlercreutzia equolifaciens"
"Adlercreutzia equolifaciens subsp. celatus"
"Adlercreutzia mucosicola"
"Adlercreutzia muris"
"Advenella alkanexedens"
"Advenella faeciporci"
"Advenella incenata"
"Advenella kashmirensis"
"Advenella kashmirensis subsp. methylica"
"Advenella mimigardefordensis"
"Advenella sp."
"Aeoliella mucimassa"
"Aequoribacter fuscus"
"Aequorivita aestuarii"
"Aequorivita antarctica"
"Aequorivita aquimaris"
"Aequorivita capsosiphonis"
"Aequorivita crocea"
"Aequorivita echinoideorum"
"Aequorivita lipolytica"
"Aequorivita sinensis"
"Aequorivita sp."
"Aequorivita sublithincola"
"Aequorivita todarodis"
"Aequorivita viscosa"
"Aequorivita vladivostokensis"
"Aeribacillus composti"
"Aeribacillus pallidus"
"Aeribacillus sp."
"Aeriscardovia aeriphila"
"Aerococcus christensenii"
"Aerococcus sanguinicola"
"Aerococcus sp."
"Aerococcus suis"
"Aerococcus urinae"
"Aerococcus urinaeequi"
"Aerococcus urinaehominis"
"Aerococcus vaginalis"
"Aerococcus viridans"
"Aeromicrobium alkaliterrae"
"Aeromicrobium camelliae"
"Aeromicrobium chenweiae"
"Aeromicrobium choanae"
"Aeromicrobium erythreum"
"Aeromicrobium flavum"
"Aeromicrobium ginsengisoli"
"Aeromicrobium halocynthiae"
"Aeromicrobium halotolerans"
"Aeromicrobium lacus"
"Aeromicrobium marinum"
"Aeromicrobium massiliense"
"Aeromicrobium panacisoli"
"Aeromicrobium panaciterrae"
"Aeromicrobium phragmitis"
"Aeromicrobium ponti"
"Aeromicrobium sp."
"Aeromicrobium tamlense"
"Aeromicrobium terrae"
"Aeromicrobium yanjiei"
"Aeromonas allosaccharophila"
"Aeromonas aquatica"
"Aeromonas australiensis"
"Aeromonas bestiarum"
"Aeromonas bivalvium"
"Aeromonas cavernicola"
"Aeromonas caviae"
"Aeromonas dhakensis"
"Aeromonas diversa"
"Aeromonas encheleia"
"Aeromonas enteropelogenes"
"Aeromonas eucrenophila"
"Aeromonas finlandensis"
"Aeromonas fluvialis"
"Aeromonas hydrophila"
"Aeromonas hydrophila subsp. hydrophila"
"Aeromonas hydrophila subsp. ranae"
"Aeromonas ichthiosmia"
"Aeromonas jandaei"
"Aeromonas lacus"
"Aeromonas lusitana"
"Aeromonas media"
"Aeromonas molluscorum"
"Aeromonas piscicola"
"Aeromonas popoffii"
"Aeromonas rivipollensis"
"Aeromonas rivuli"
"Aeromonas salmonicida"
"Aeromonas salmonicida subsp. achromogenes"
"Aeromonas salmonicida subsp. masoucida"
"Aeromonas salmonicida subsp. pectinolytica"
"Aeromonas salmonicida subsp. salmonicida"
"Aeromonas salmonicida subsp. smithia"
"Aeromonas sanarellii"
"Aeromonas schubertii"
"Aeromonas simiae"
"Aeromonas sobria"
"Aeromonas sp."
"Aeromonas taiwanensis"
"Aeromonas tecta"
"Aeromonas veronii"
"Aeropyrum camini"
"Aeropyrum pernix"
"Aerosticca soli"
"Aestuariibacter halophilus"
"Aestuariibacter salexigens"
"Aestuariibaculum marinum"
"Aestuariibaculum scopimerae"
"Aestuariibaculum suncheonense"
"Aestuariibius insulae"
"Aestuariicella hydrocarbonica"
"Aestuariicoccus marinus"
"Aestuariihabitans beolgyonensis"
"Aestuariimicrobium kwangyangense"
"Aestuariimicrobium soli"
"Aestuariimonas insulae"
"Aestuariirhabdus litorea"
"Aestuariivirga litoralis"
"Aestuariivita boseongensis"
"Aetherobacter fasciculatus"
"Aetherobacter rufus"
"Afifella marina"
"Afifella pfennigii"
"Afifella sp."
"Afipia birgiae"
"Afipia broomeae"
"Afipia carboxidovorans"
"Afipia clevelandensis"
"Afipia felis"
"Afipia massiliensis"
"Afipia sp."
"Agaribacter flavus"
"Agaribacterium haliotis"
"Agaricicola taiwanensis"
"Agarilytica rhodophyticola"
"Agarivorans aestuarii"
"Agarivorans albus"
"Agarivorans gilvus"
"Agarivorans litoreus"
"Agarivorans sp."
"Agathobacter rectalis"
"Agathobacter ruminis"
"Agathobaculum butyriciproducens"
"Agathobaculum desmolans"
"Aggregatibacter actinomycetemcomitans"
"Aggregatibacter aphrophilus"
"Aggregatibacter kilianii"
"Aggregatibacter segnis"
"Aggregatilinea lenta"
"Aggregicoccus edonensis"
"Agitococcus lubricus"
"Agreia bicolorata"
"Agreia pratensis"
"Agreia sp."
"Agrilactobacillus composti"
"Agrilactobacillus yilanensis"
"Agrobacterium arsenijevicii"
"Agrobacterium bohemicum"
"Agrobacterium larrymoorei"
"Agrobacterium nepotum"
"Agrobacterium pusense"
"Agrobacterium radiobacter"
"Agrobacterium rosae"
"Agrobacterium rubi"
"Agrobacterium salinitolerans"
"Agrobacterium skierniewicense"
"Agrobacterium sp."
"Agrococcus baldri"
"Agrococcus carbonis"
"Agrococcus casei"
"Agrococcus citreus"
"Agrococcus jejuensis"
"Agrococcus jenensis"
"Agrococcus lahaulensis"
"Agrococcus sp."
"Agrococcus terreus"
"Agrococcus versicolor"
"Agromyces albus"
"Agromyces allii"
"Agromyces arachidis"
"Agromyces atrinae"
"Agromyces aurantiacus"
"Agromyces aureus"
"Agromyces badenianii"
"Agromyces bauzanensis"
"Agromyces binzhouensis"
"Agromyces bracchium"
"Agromyces cerinus"
"Agromyces cerinus subsp. cerinus"
"Agromyces cerinus subsp. nitratus"
"Agromyces flavus"
"Agromyces fucosus"
"Agromyces fucosus subsp. hippuratus"
"Agromyces humatus"
"Agromyces indicus"
"Agromyces insulae"
"Agromyces iriomotensis"
"Agromyces italicus"
"Agromyces lapidis"
"Agromyces luteolus"
"Agromyces marinus"
"Agromyces mediolanus"
"Agromyces neolithicus"
"Agromyces ramosus"
"Agromyces rhizosphaerae"
"Agromyces salentinus"
"Agromyces soli"
"Agromyces sp."
"Agromyces subbeticus"
"Agromyces subtropicus"
"Agromyces tardus"
"Agromyces terreus"
"Agromyces tropicus"
"Agromyces ulmi"
"Ahniella affigens"
"Ahrensia kielensis"
"Ahrensia marina"
"Aidingibacillus halophilus"
"Aidingimonas halophila"
"Aidingimonas sp."
"Akkermansia glycaniphila"
"Akkermansia muciniphila"
"Albibacillus kandeliae"
"Albibacter helveticus"
"Albibacter methylovorans"
"Albibacterium bauzanense"
"Albidiferax ferrireducens"
"Albidovulum inexpectatum"
"Albidovulum sp."
"Albimonas donghaensis"
"Albimonas pacifica"
"Albirhodobacter confluentis"
"Albirhodobacter marinus"
"Alcaligenes aquatilis"
"Alcaligenes endophyticus"
"Alcaligenes faecalis"
"Alcaligenes faecalis subsp. faecalis"
"Alcaligenes faecalis subsp. parafaecalis"
"Alcaligenes faecalis subsp. phenolicus"
"Alcaligenes pakistanensis"
"Alcaligenes sp."
"Alcanivorax balearicus"
"Alcanivorax borkumensis"
"Alcanivorax dieselolei"
"Alcanivorax gelatiniphagus"
"Alcanivorax hongdengensis"
"Alcanivorax indicus"
"Alcanivorax jadensis"
"Alcanivorax marinus"
"Alcanivorax mobilis"
"Alcanivorax nanhaiticus"
"Alcanivorax profundi"
"Alcanivorax sp."
"Alcanivorax venustensis"
"Alcanivorax xenomutans"
"Aldersonia kunmingensis"
"Algibacter agarilyticus"
"Algibacter agarivorans"
"Algibacter alginicilyticus"
"Algibacter amylolyticus"
"Algibacter aquaticus"
"Algibacter aquimarinus"
"Algibacter lectus"
"Algibacter mikhailovii"
"Algibacter pectinivorans"
"Algibacter psychrophilus"
"Algibacter sp."
"Algibacter undariae"
"Algicola bacteriolytica"
"Algicola sagamiensis"
"Algihabitans albus"
"Algimonas ampicilliniresistens"
"Algimonas porphyrae"
"Algiphilus aromaticivorans"
"Algisphaera agarilytica"
"Algivirga pacifica"
"Algoriella xinjiangensis"
"Algoriphagus aestuariicola"
"Algoriphagus alkaliphilus"
"Algoriphagus antarcticus"
"Algoriphagus aquaeductus"
"Algoriphagus aquaemixtae"
"Algoriphagus aquatilis"
"Algoriphagus aquimarinus"
"Algoriphagus aquimaris"
"Algoriphagus boritolerans"
"Algoriphagus chordae"
"Algoriphagus chungangensis"
"Algoriphagus confluentis"
"Algoriphagus faecimaris"
"Algoriphagus halophilus"
"Algoriphagus hitonicola"
"Algoriphagus iocasae"
"Algoriphagus jejuensis"
"Algoriphagus litorisediminis"
"Algoriphagus locisalis"
"Algoriphagus lutimaris"
"Algoriphagus machipongonensis"
"Algoriphagus mannitolivorans"
"Algoriphagus marincola"
"Algoriphagus marinus"
"Algoriphagus marisflavi"
"Algoriphagus namhaensis"
"Algoriphagus olei"
"Algoriphagus ornithinivorans"
"Algoriphagus ratkowskyi"
"Algoriphagus resistens"
"Algoriphagus roseus"
"Algoriphagus sanaruensis"
"Algoriphagus shivajiensis"
"Algoriphagus sp."
"Algoriphagus taiwanensis"
"Algoriphagus terrigena"
"Algoriphagus trabzonensis"
"Algoriphagus vanfongensis"
"Algoriphagus winogradskyi"
"Algoriphagus yeomjeoni"
"Algoriphagus zhangzhouensis"
"Aliagarivorans marinus"
"Aliagarivorans taiwanensis"
"Alicycliphilus denitrificans"
"Alicyclobacillus acidiphilus"
"Alicyclobacillus acidocaldarius"
"Alicyclobacillus acidocaldarius subsp. acidocaldarius"
"Alicyclobacillus acidocaldarius subsp. rittmannii"
"Alicyclobacillus acidoterrestris"
"Alicyclobacillus aeris"
"Alicyclobacillus cellulosilyticus"
"Alicyclobacillus contaminans"
"Alicyclobacillus cycloheptanicus"
"Alicyclobacillus dauci"
"Alicyclobacillus disulfidooxidans"
"Alicyclobacillus fastidiosus"
"Alicyclobacillus ferrooxydans"
"Alicyclobacillus fructus"
"Alicyclobacillus herbarius"
"Alicyclobacillus hesperidum"
"Alicyclobacillus kakegawensis"
"Alicyclobacillus macrosporangiidus"
"Alicyclobacillus montanus"
"Alicyclobacillus pomorum"
"Alicyclobacillus sacchari"
"Alicyclobacillus sendaiensis"
"Alicyclobacillus shizuokensis"
"Alicyclobacillus sp."
"Alicyclobacillus suci"
"Alicyclobacillus tengchongensis"
"Alicyclobacillus vulcanalis"
"Alienimonas californiensis"
"Aliibacillus thermotolerans"
"Aliicoccus persicus"
"Aliidiomarina celeris"
"Aliidiomarina haloalkalitolerans"
"Aliidiomarina iranensis"
"Aliidiomarina maris"
"Aliidiomarina minuta"
"Aliidiomarina sedimenti"
"Aliidiomarina shirensis"
"Aliidiomarina soli"
"Aliidiomarina taiwanensis"
"Aliidongia dinghuensis"
"Aliifodinibius halophilus"
"Aliifodinibius roseus"
"Aliifodinibius salicampi"
"Aliifodinibius salipaludis"
"Aliifodinibius sediminis"
"Aliifodinibius sp."
"Aliiglaciecola aliphaticivorans"
"Aliiglaciecola coringensis"
"Aliiglaciecola lipolytica"
"Aliiglaciecola litoralis"
"Aliihoeflea aestuarii"
"Aliihoeflea sp."
"Aliiroseovarius crassostreae"
"Aliiroseovarius halocynthiae"
"Aliiroseovarius sediminilitoris"
"Aliiroseovarius zhejiangensis"
